stnname,country_left,country_right
Favray,FRA,FRA
Favroz,FRA,FRA
Fayette Est,FRA,FRA
Fayole Sud,FRA,FRA
Faÿs aux Filles,FRA,FRA
Fayselles,FRA,FRA
Féart,FRA,FRA
Feignet,FRA,FRA
Feisselles,FRA,FRA
Feizet,FRA,FRA
Felgueirine,FRA,FRA
Feligou,FRA,FRA
Félin,FRA,FRA
Femmemorte,FRA,FRA
Femouillade,FRA,FRA
Fenestrelle Ouest,FRA,FRA
Fenetaud,FRA,FRA
Fenouillères,FRA,FRA
Feraca,FRA,FRA
Férat,FRA,FRA
Ferdinand de Lesseps,FRA,FRA
Ferie-Bas,FRA,FRA
Ferière,FRA,FRA
Ferme,FRA,FRA
Ferme aux Fraises,FRA,FRA
Ferme Balme,FRA,FRA
Ferme Beancourt,FRA,FRA
Ferme Beaux,FRA,FRA
Ferme Bois Breton,FRA,FRA
Ferme Boiteaux,FRA,FRA
Ferme Bromsenhof,FRA,FRA
Ferme Brudergarten,FRA,FRA
Ferme Capelle,FRA,FRA
Ferme Chiodi,FRA,FRA
Ferme Dacqueville,FRA,FRA
Ferme d'Acron,FRA,FRA
Ferme d'Aigurolles,FRA,FRA
Ferme d'Ancèreville,FRA,FRA
Ferme d'Apas,FRA,FRA
Ferme d'Aplemour,FRA,FRA
Ferme d'Archambault,FRA,FRA
Ferme d'Arcy,FRA,FRA
Ferme d'Argirey,FRA,FRA
Ferme d'Arthe,FRA,FRA
Ferme d'Arvigny,FRA,FRA
Ferme de Banville,FRA,FRA
Ferme de Barme,FRA,FRA
Ferme de Beaulne,FRA,FRA
Ferme de Béguin,FRA,FRA
Ferme de Belair,FRA,FRA
Ferme de Bellepanne,FRA,FRA
Ferme de Belroy,FRA,FRA
Ferme de Blacquetuis,FRA,FRA
Ferme de Blainville,FRA,FRA
Ferme de Blémur,FRA,FRA
Ferme de Bonneval,FRA,FRA
Ferme de Bordeneuve,FRA,FRA
Ferme de Borgirault,FRA,FRA
Ferme de Bourgainville,FRA,FRA
Ferme de Bouvigny,FRA,FRA
Ferme de Brunel,FRA,FRA
Ferme de Buzancy,FRA,FRA
Ferme de Camp,FRA,FRA
Ferme de Carcot,FRA,FRA
Ferme de Carenton,FRA,FRA
Ferme de Cargaut,FRA,FRA
Ferme de Chanet,FRA,FRA
Ferme de Chasseboeuf,FRA,FRA
Ferme de Chavaudon,FRA,FRA
Ferme de Clairefeuille,FRA,FRA
Ferme de Clavisy,FRA,FRA
Ferme de Comin,FRA,FRA
Ferme de Commercy,FRA,FRA
Ferme de Condé,FRA,FRA
Ferme de Confraveux,FRA,FRA
Ferme de Corbesseau,FRA,FRA
Ferme de Coumes,FRA,FRA
Ferme de Court Côte,FRA,FRA
Ferme de Courtenain,FRA,FRA
Ferme de Couvron,FRA,FRA
Ferme de Crécy,FRA,FRA
Ferme de Fantigny,FRA,FRA
Ferme de Fleuriel,FRA,FRA
Ferme de Font Couverte,FRA,FRA
Ferme de Forge,FRA,FRA
Ferme de Fortoiseau,FRA,FRA
Ferme de Gert,FRA,FRA
Ferme de Jean Bernat,FRA,FRA
Ferme de Keradennec,FRA,FRA
Ferme de l'Abbaye des Trois Rois,FRA,FRA
Ferme de la Beaudrière,FRA,FRA
Ferme de la Boulbène,FRA,FRA
Ferme de La Bourdonnaye,FRA,FRA
Ferme de La Bruyère Est,FRA,FRA
Ferme de la Cacheterie,FRA,FRA
Ferme de la Carrière l'Évêque,FRA,FRA
Ferme de la Cendrière,FRA,FRA
Ferme de la Commanderie,FRA,FRA
Ferme de la Couetterie,FRA,FRA
Ferme de la Couture,FRA,FRA
Ferme de la Crémade,FRA,FRA
Ferme de la Croix Blanche,FRA,FRA
Ferme de la Croix Manin,FRA,FRA
Ferme de la Cumine,FRA,FRA
Ferme de l'Adhuy,FRA,FRA
Ferme de la Fagotière,FRA,FRA
Ferme de la Foly,FRA,FRA
Ferme de la Fossé,FRA,FRA
Ferme de la Genètre,FRA,FRA
Ferme de la Gravière,FRA,FRA
Ferme de la Lévrière,FRA,FRA
Ferme de la Loge Lionne,FRA,FRA
Ferme de la Loire,FRA,FRA
Ferme de la Maison Blanche,FRA,FRA
Ferme de la Maison des Garennes,FRA,FRA
Ferme de la Mérite,FRA,FRA
Ferme de la Noue Bourgeat,FRA,FRA
Ferme de la Ramonerie,FRA,FRA
Ferme de la Route,FRA,FRA
Ferme de la Sapaie,FRA,FRA
Ferme de la Sente,FRA,FRA
Ferme de la Sibérie,FRA,FRA
Ferme de la Tanière,FRA,FRA
Ferme de la Tournevray,FRA,FRA
Ferme de l'Aubépine,FRA,FRA
Ferme de Lavaud,FRA,FRA
Ferme de la Vèvre,FRA,FRA
Ferme de la Vieille Verrer,FRA,FRA
Ferme de la Viéville,FRA,FRA
Ferme de la Woëvre,FRA,FRA
Ferme de l'Épau,FRA,FRA
Ferme de l'Érable,FRA,FRA
Ferme de l'Erolle,FRA,FRA
Ferme de Leytoure,FRA,FRA
Ferme de l'Herbue,FRA,FRA
Ferme de l'Hérété,FRA,FRA
Ferme de l'Heure,FRA,FRA
Ferme de Libdeau,FRA,FRA
Ferme de Livry,FRA,FRA
Ferme de Longueil,FRA,FRA
Ferme de Longuemare,FRA,FRA
Ferme de l'Orient,FRA,FRA
Ferme de l'Ormier,FRA,FRA
Ferme de Louvières,FRA,FRA
Ferme de Lugny,FRA,FRA
Ferme de Maison-Rouge,FRA,FRA
Ferme de Malliécourt,FRA,FRA
Ferme de Malveaux,FRA,FRA
Ferme de Manaud,FRA,FRA
Ferme de Mariaville,FRA,FRA
Ferme de Marivas,FRA,FRA
Ferme de Marnet,FRA,FRA
Ferme de Masselin,FRA,FRA
Ferme de Mauchamps,FRA,FRA
Ferme de Ménil,FRA,FRA
Ferme de Meslay,FRA,FRA
Ferme de Moncharvot,FRA,FRA
Ferme de Monfréville,FRA,FRA
Ferme de Montarlot,FRA,FRA
Ferme de Montbénard,FRA,FRA
Ferme de Montchevreuil,FRA,FRA
Ferme de Mont-Denis,FRA,FRA
Ferme de Montfricon,FRA,FRA
Ferme de Montgarnier,FRA,FRA
Ferme de Montgermont,FRA,FRA
Ferme de Montmirel,FRA,FRA
Ferme de Montrécourt,FRA,FRA
Ferme de Mottin,FRA,FRA
Ferme de Moyencourt,FRA,FRA
Ferme de Nainville,FRA,FRA
Ferme de Nandy,FRA,FRA
Ferme de Naugas,FRA,FRA
Ferme de Noisement,FRA,FRA
Ferme de Norval,FRA,FRA
Ferme de Paincourt Hameau,FRA,FRA
Ferme de Payerne,FRA,FRA
Ferme de Périès,FRA,FRA
Ferme de Peyretraoucade,FRA,FRA
Ferme de Pierreville,FRA,FRA
Ferme de Planfort,FRA,FRA
Ferme de Porte,FRA,FRA
Ferme de Préfaissal,FRA,FRA
Ferme de Préssoucy,FRA,FRA
Ferme de Proche Pré,FRA,FRA
Ferme de Putigny,FRA,FRA
Ferme de Radalenque,FRA,FRA
Ferme de Rampont,FRA,FRA
Ferme de Randouly,FRA,FRA
Ferme d'Érelles,FRA,FRA
Ferme de Remicourt,FRA,FRA
Ferme de Reneuil,FRA,FRA
Ferme de Richecourt,FRA,FRA
Ferme de Rigaud,FRA,FRA
Ferme de Riol,FRA,FRA
Ferme de Rotot,FRA,FRA
Ferme de Rotteboz,FRA,FRA
Ferme de Rozat,FRA,FRA
Ferme des Aiges,FRA,FRA
Ferme de Saint-Antoine,FRA,FRA
Ferme de Saint-Auban,FRA,FRA
Ferme de Saint-Aubin,FRA,FRA
Ferme de Saint-Christophe,FRA,FRA
Ferme de Saint-Eugène,FRA,FRA
Ferme de Saint-Saturnin,FRA,FRA
Ferme de Saint-Urchaud,FRA,FRA
Ferme des Barres,FRA,FRA
Ferme des Bereaux,FRA,FRA
Ferme des Blanchards,FRA,FRA
Ferme des Champs Chaney,FRA,FRA
Ferme des Coutures,FRA,FRA
Ferme d'Esfoz,FRA,FRA
Ferme des Genteys,FRA,FRA
Ferme des Grandes Beines,FRA,FRA
Ferme des Groisons,FRA,FRA
Ferme des Hutereaux,FRA,FRA
Ferme des Îles,FRA,FRA
Ferme des Jésuites,FRA,FRA
Ferme des Lattois,FRA,FRA
Ferme des Mazures,FRA,FRA
Ferme des Menus Bois,FRA,FRA
Ferme Désormeaux,FRA,FRA
Ferme de Soudon,FRA,FRA
Ferme de Sourdeac,FRA,FRA
Ferme des Pièces Patrix Go,FRA,FRA
Ferme d'Esplas,FRA,FRA
Ferme des Pleux,FRA,FRA
Ferme des Roches,FRA,FRA
Ferme des Rues Boshe,FRA,FRA
Ferme Dessus de Fayaux,FRA,FRA
Ferme des Tesnières,FRA,FRA
Ferme des Trois Coups,FRA,FRA
Ferme de Suippes,FRA,FRA
Ferme des Usages,FRA,FRA
Ferme des Vatines,FRA,FRA
Ferme des Vernes,FRA,FRA
Ferme des Vieux Étangs,FRA,FRA
Ferme des Viviers,FRA,FRA
Ferme de Thierret,FRA,FRA
Ferme de Tinselve,FRA,FRA
Ferme de Trémont,FRA,FRA
Ferme d'Etrepoix,FRA,FRA
Ferme de Trimolot,FRA,FRA
Ferme de Valembois,FRA,FRA
Ferme de Valpendant,FRA,FRA
Ferme de Varimpré,FRA,FRA
Ferme de Wiermont,FRA,FRA
Ferme de Wittring,FRA,FRA
Ferme d'Haudreville,FRA,FRA
Ferme d'Hennechy,FRA,FRA
Ferme d'Homblières,FRA,FRA
Ferme d'Hyverchies,FRA,FRA
Ferme d'Issonges,FRA,FRA
Ferme Distillerie Nadon,FRA,FRA
Ferme d'Iverling,FRA,FRA
Ferme d'Orangis,FRA,FRA
Ferme d'Ourne,FRA,FRA
Ferme du Baron de Lanque,FRA,FRA
Ferme du Bas Bray,FRA,FRA
Ferme du Bas Chaillot,FRA,FRA
Ferme du Bas du Breuil,FRA,FRA
Ferme du Biou,FRA,FRA
Ferme du Bois Colin,FRA,FRA
Ferme du Bois du Fecq,FRA,FRA
Ferme du Bois Jouan,FRA,FRA
Ferme du Bois le Duc,FRA,FRA
Ferme du Bois Martin,FRA,FRA
Ferme du Bray,FRA,FRA
Ferme du Charmoi,FRA,FRA
Ferme du Coudray,FRA,FRA
Ferme du Croc Barre,FRA,FRA
Ferme du Domaine de Bardonnay,FRA,FRA
Ferme du Domaine d'Orangis,FRA,FRA
Ferme du Doucet,FRA,FRA
Ferme du Faux Miroir,FRA,FRA
Ferme du Fayt,FRA,FRA
Ferme du Flot Léger,FRA,FRA
Ferme du Fond de Fontaine,FRA,FRA
Ferme du Formont,FRA,FRA
Ferme du Grand Fontenay,FRA,FRA
Ferme du Grand Moulin,FRA,FRA
Ferme du Grand Porte Égal,FRA,FRA
Ferme du Griess,FRA,FRA
Ferme du Hamel,FRA,FRA
Ferme du Haut de Flamont,FRA,FRA
Ferme du Jonc de Mer,FRA,FRA
Ferme du Logis,FRA,FRA
Ferme du Maupuy,FRA,FRA
Ferme du Méridien,FRA,FRA
Ferme du Mesnil Général,FRA,FRA
Ferme du Monistrol,FRA,FRA
Ferme du Moulin Bas,FRA,FRA
Ferme du Moulin Bleu,FRA,FRA
Ferme du Moulin d'en Bas,FRA,FRA
Ferme du Pastoureau,FRA,FRA
Ferme du Pertron,FRA,FRA
Ferme du Petit Hôtel,FRA,FRA
Ferme du Petit Langenberg,FRA,FRA
Ferme du Petit Moulin,FRA,FRA
Ferme du Petit Priel,FRA,FRA
Ferme du Plenois,FRA,FRA
Ferme du Plessis Mallet,FRA,FRA
Ferme du Plouy,FRA,FRA
Ferme du Pochy,FRA,FRA
Ferme du Pouech,FRA,FRA
Ferme du Pré Morel,FRA,FRA
Ferme du Préot,FRA,FRA
Ferme du Pressoir,FRA,FRA
Ferme du Rinting,FRA,FRA
Ferme du Roglain,FRA,FRA
Ferme du Signal,FRA,FRA
Ferme du Temple,FRA,FRA
Ferme du Tordoir,FRA,FRA
Ferme du Trou aux Renards,FRA,FRA
Ferme du Val des Fourches,FRA,FRA
Ferme du Val Ribout,FRA,FRA
Ferme du Vernay,FRA,FRA
Ferme du Vionnay,FRA,FRA
Ferme en Fumade,FRA,FRA
Ferme Favre,FRA,FRA
Ferme Ferrières,FRA,FRA
Ferme Fleckenstein,FRA,FRA
Ferme Fourteau,FRA,FRA
Ferme Gauthier,FRA,FRA
Ferme Gineau,FRA,FRA
Ferme Grand Bois,FRA,FRA
Ferme Haute Burthecourt,FRA,FRA
Ferme Jumelin,FRA,FRA
Ferme La Buissonnerie,FRA,FRA
Ferme La Gaillotte,FRA,FRA
Ferme La Grande Pièce du Chanois,FRA,FRA
Ferme Lagreoulet,FRA,FRA
Ferme La Mare,FRA,FRA
Ferme La Nouette,FRA,FRA
Ferme La Pradasse,FRA,FRA
Ferme Lehngarten,FRA,FRA
Ferme Le Mêlier,FRA,FRA
Ferme Le Peyre,FRA,FRA
Ferme Les Marais,FRA,FRA
Ferme Les Pisserots,FRA,FRA
Ferme Les Pommerats,FRA,FRA
Ferme Les Rieux,FRA,FRA
Ferme Les Rosières,FRA,FRA
Ferme Long-Orme,FRA,FRA
Ferme Martin,FRA,FRA
Ferme Maze,FRA,FRA
Ferme Mellon,FRA,FRA
Ferme Morel,FRA,FRA
Ferme Notre-Dame de la Remise,FRA,FRA
Ferme Pédagogique,FRA,FRA
Ferme Provelu,FRA,FRA
Ferme Ravouze,FRA,FRA
Ferme Ritzenthal,FRA,FRA
Ferme Rohrbacher,FRA,FRA
Ferme Rousseville,FRA,FRA
Ferme Sainte-Madeleine,FRA,FRA
Ferme Sainte-Procaire,FRA,FRA
Ferme Saint-Henri,FRA,FRA
Ferme Saint-Laurent,FRA,FRA
Ferme Saint-Oswald,FRA,FRA
Fermes Audeuil,FRA,FRA
Ferme Scharren,FRA,FRA
Fermes de la Bazèque,FRA,FRA
Fermes de la Fosse Thibault,FRA,FRA
Fermes de Mare Morin,FRA,FRA
Fermes de Méchambre,FRA,FRA
Ferme Seigneuray,FRA,FRA
Ferme Sérieux,FRA,FRA
Ferme Tuilerie Nord,FRA,FRA
Ferme Val l'Hermite,FRA,FRA
Ferme Vason,FRA,FRA
Ferme Waderhof,FRA,FRA
Ferme Waldeck,FRA,FRA
Fermontes,FRA,FRA
Ferniajoux,FRA,FRA
Fernigot,FRA,FRA
Ferolle,FRA,FRA
Ferrageon,FRA,FRA
Ferrages du Cours,FRA,FRA
Ferrages du Puits Neuf,FRA,FRA
Ferraillon,FRA,FRA
Ferrandeau,FRA,FRA
Ferrand Ouest,FRA,FRA
Ferreau Nord,FRA,FRA
Ferrée,FRA,FRA
Ferreri d'en Haut,FRA,FRA
Ferrières Ouest,FRA,FRA
Férrou,FRA,FRA
Fertillé,FRA,FRA
Fesques et Cadière,FRA,FRA
Fessari,FRA,FRA
Fesselerie,FRA,FRA
Fetan Vor,FRA,FRA
Fet du Midi,FRA,FRA
Fêtenou,FRA,FRA
Feu Courbe,FRA,FRA
Feugas,FRA,FRA
Feugas Sud,FRA,FRA
Feuges,FRA,FRA
Feuillade Bas,FRA,FRA
Feuillattée,FRA,FRA
Feuille,FRA,FRA
Feuilletière,FRA,FRA
Feunteun ar Quefellec,FRA,FRA
Feunteun Goarec Bihan,FRA,FRA
Feunteun Goarec Parc Névez,FRA,FRA
Feunteun Speur,FRA,FRA
Feute Dreve,FRA,FRA
Fèvres,FRA,FRA
Fey,FRA,FRA
Fey Bas,FRA,FRA
Feydeau,FRA,FRA
Feydoux,FRA,FRA
Feytit,FRA,FRA
Feyzet,FRA,FRA
Fezillère,FRA,FRA
Fiança l'Osso,FRA,FRA
Fica Pruna,FRA,FRA
Fichous,FRA,FRA
Fief à Benaire,FRA,FRA
Fief Calin,FRA,FRA
Fief Chevalier,FRA,FRA
Fief de Gruchy,FRA,FRA
Fief de la Brousse,FRA,FRA
Fief de la Cathuzière,FRA,FRA
Fief de la Chambaudière,FRA,FRA
Fief de la Couture,FRA,FRA
Fief de l'Eau,FRA,FRA
Fief de Roy,FRA,FRA
Fief des Bruères,FRA,FRA
Fief des Caves,FRA,FRA
Fief des Forêts,FRA,FRA
Fief des Planches,FRA,FRA
Fief des Prises,FRA,FRA
Fief des Racouets,FRA,FRA
Fief des Rojelières,FRA,FRA
Fief d'Orennes,FRA,FRA
Fief du Lombaze,FRA,FRA
Fief du Quart,FRA,FRA
Fief du Tirpeux,FRA,FRA
Fieffé de la Couaille,FRA,FRA
Fieffé du Milieu,FRA,FRA
Fief Goumard,FRA,FRA
Fief Levreau,FRA,FRA
Fief Madame,FRA,FRA
Fief Madeleine,FRA,FRA
Fief Pousson,FRA,FRA
Fieraud,FRA,FRA
Fignolaire,FRA,FRA
Filitello,FRA,FRA
Filleau,FRA,FRA
Filleul,FRA,FRA
Filouse,FRA,FRA
Finage de Pont,FRA,FRA
Finchette,FRA,FRA
Fin Dernière,FRA,FRA
Finese,FRA,FRA
Finkhof,FRA,FRA
Finot Neuf,FRA,FRA
Finoune,FRA,FRA
Fioc,FRA,FRA
Fit Haut Sud,FRA,FRA
Fittelle et Fette del Pagl,FRA,FRA
Fiume d'Olmo,FRA,FRA
Fiumicellu,FRA,FRA
Fiuminale Sottano,FRA,FRA
Fizou,FRA,FRA
FL 20,FRA,FRA
Flabémont,FRA,FRA
Flacheraud,FRA,FRA
Flachsegerten,FRA,FRA
Flacieux,FRA,FRA
Flagel Est,FRA,FRA
Flamberville,FRA,FRA
Flandine,FRA,FRA
Flandry,FRA,FRA
Flanot,FRA,FRA
Flat,FRA,FRA
Flaujague,FRA,FRA
Fléchy,FRA,FRA
Fleurmal,FRA,FRA
Fleurys,FRA,FRA
Fleuvarville,FRA,FRA
Fleyrac,FRA,FRA
Fley Sud,FRA,FRA
Flingant,FRA,FRA
Floran,FRA,FRA
Flore,FRA,FRA
Floriguès,FRA,FRA
Flornoy,FRA,FRA
Flosaille,FRA,FRA
Floyrac Est,FRA,FRA
Flûteau Chaudronnier,FRA,FRA
Fluviobus,FRA,FRA
Foc du Haut,FRA,FRA
Foicy,FRA,FRA
Foireau,FRA,FRA
Folle Brise,FRA,FRA
Fombeaude,FRA,FRA
Fombouc,FRA,FRA
Fompie,FRA,FRA
Fon Aubert,FRA,FRA
Fonbicle,FRA,FRA
Fonbine,FRA,FRA
Fonbounou,FRA,FRA
Foncelarde,FRA,FRA
Foncières,FRA,FRA
Fonclare Nord,FRA,FRA
Foncouverte Est,FRA,FRA
Foncouverte Ouest,FRA,FRA
Fondans,FRA,FRA
Fondation Arnaud,FRA,FRA
Fond Bessoune,FRA,FRA
Fond Cotte,FRA,FRA
Fond de Bacquey,FRA,FRA
Fond de Cardissou,FRA,FRA
Fond de Frireulles,FRA,FRA
Fond de Graincourt,FRA,FRA
Fond de la Côte,FRA,FRA
Fond de la Couech,FRA,FRA
Fond de la Maligne,FRA,FRA
Fond de la Noue,FRA,FRA
Fond de la Noue 1 Partie,FRA,FRA
Fond de Laulan,FRA,FRA
Fond de la Ville,FRA,FRA
Fond de Leparre,FRA,FRA
Fond de Mon Pré,FRA,FRA
Fond de Mulet,FRA,FRA
Fond de Pech,FRA,FRA
Fond de Pimpan,FRA,FRA
Fond de Pomps,FRA,FRA
Fond de Razouls,FRA,FRA
Fond des Canets,FRA,FRA
Fond de Vaumort,FRA,FRA
Fond du Bas,FRA,FRA
Fond du Marquet,FRA,FRA
Fond du Pré,FRA,FRA
Fond du Rôt,FRA,FRA
Fonderie de la Dure,FRA,FRA
Fondermont,FRA,FRA
Fond et Laganier,FRA,FRA
Fondoubine,FRA,FRA
Fond Pillon,FRA,FRA
Fondragon,FRA,FRA
Fond Rivaud,FRA,FRA
Fonds de Grai,FRA,FRA
Fonds de la Pâlotte,FRA,FRA
Fonds Saint-Martin,FRA,FRA
Fond Vive,FRA,FRA
Fonfarge,FRA,FRA
Fonfrêche,FRA,FRA
Fongautier,FRA,FRA
Fongrauline,FRA,FRA
Fongrave Sud,FRA,FRA
Fongrenon,FRA,FRA
Fongrives,FRA,FRA
Fongrives Bas,FRA,FRA
Fonjouille,FRA,FRA
Fonjourde,FRA,FRA
Fonjunquaire,FRA,FRA
Fonladre,FRA,FRA
Fon Laroche,FRA,FRA
Fon Malo,FRA,FRA
Fonmarie,FRA,FRA
Fonmartin,FRA,FRA
Fonnadales,FRA,FRA
Fonqueyrome,FRA,FRA
Fonreau,FRA,FRA
Fonreaud,FRA,FRA
Fonrouquette,FRA,FRA
Fonsbelle,FRA,FRA
Fontaine aux Foulons,FRA,FRA
Fontaine Clare,FRA,FRA
Fontaine de Brafanige,FRA,FRA
Fontaine de Cal,FRA,FRA
Fontaine de Cosse,FRA,FRA
Fontaine de Cugens,FRA,FRA
Fontaine de Fals,FRA,FRA
Fontaine de Fourat Sud,FRA,FRA
Fontaine de Gabachou,FRA,FRA
Fontaine de Jeanes,FRA,FRA
Fontaine de la Croix,FRA,FRA
Fontaine de Ladou,FRA,FRA
Fontaine de l'Oseille,FRA,FRA
Fontaine del Roc,FRA,FRA
Fontaine de Malle,FRA,FRA
Fontaine de Mars,FRA,FRA
Fontaine d'Entrechat,FRA,FRA
Fontaine des Sablons Sud,FRA,FRA
Fontaine du Buc,FRA,FRA
Fontaine du Buis,FRA,FRA
Fontaine du Faure,FRA,FRA
Fontaine du Pied,FRA,FRA
Fontaine Farière,FRA,FRA
Fontaine Germont,FRA,FRA
Fontaine Goudal,FRA,FRA
Fontaine Goulet,FRA,FRA
Fontaine Guenibeau,FRA,FRA
Fontaine Jules César,FRA,FRA
Fontaine Marie,FRA,FRA
Fontaine Marine,FRA,FRA
Fontaine Massot,FRA,FRA
Fontaine-Measlet,FRA,FRA
Fontaine Menet,FRA,FRA
Fontaine-Rose,FRA,FRA
Fontaine Rose Ouest,FRA,FRA
Fontaine Saint-Armel,FRA,FRA
Fontaine Saint-Bravy,FRA,FRA
Fontaine Sainte-Foi,FRA,FRA
Fontaine Saint-Maurice,FRA,FRA
Fontaines Archer,FRA,FRA
Fontaine Saurette,FRA,FRA
Fontaine sous Pierre,FRA,FRA
Fontamolle,FRA,FRA
Fontana Alla Leccia,FRA,FRA
Fontana Al Monte,FRA,FRA
Fontana Vecchia,FRA,FRA
Fontaneau,FRA,FRA
Fontany,FRA,FRA
Fontaraillou,FRA,FRA
Fontary,FRA,FRA
Fontas Nord,FRA,FRA
Fontaubin,FRA,FRA
Font Aulie,FRA,FRA
Fontaury,FRA,FRA
Fontauzel,FRA,FRA
Fontbel,FRA,FRA
Font Boudaut,FRA,FRA
Fontboudoire,FRA,FRA
Font Castellan,FRA,FRA
Font Chandelière,FRA,FRA
Font Chaou,FRA,FRA
Font Charrière,FRA,FRA
Fontchâteau,FRA,FRA
Font d'Aurumy,FRA,FRA
Font de Biné,FRA,FRA
Font de Blacas,FRA,FRA
Font de Chose,FRA,FRA
Font de Guillaume,FRA,FRA
Font de Jean,FRA,FRA
Font de la Banquière,FRA,FRA
Font de la Corba,FRA,FRA
Font de Lanauze,FRA,FRA
Font de l'Annet,FRA,FRA
Font de l'Aube,FRA,FRA
Font de Laugier,FRA,FRA
Font de Lauque,FRA,FRA
Font de Laurent,FRA,FRA
Font de la Ville,FRA,FRA
Font d'Enfret,FRA,FRA
Font de Rey,FRA,FRA
Font Divie,FRA,FRA
Font du Pradeau,FRA,FRA
Font du Roc,FRA,FRA
Font du Veige,FRA,FRA
Fonteau Ouest,FRA,FRA
Fontelain,FRA,FRA
Fontelière,FRA,FRA
Fontémazaud,FRA,FRA
Fontemieu,FRA,FRA
Fontenau,FRA,FRA
Fontenay-du-Bas,FRA,FRA
Fontendrieux Est,FRA,FRA
Fontenouilles,FRA,FRA
Fontey Bas,FRA,FRA
Fonteye,FRA,FRA
Fonteynieux,FRA,FRA
Fontfayrolles,FRA,FRA
Fontfourtou,FRA,FRA
Font Fraie,FRA,FRA
Fontfroide le Bas,FRA,FRA
Font Gamate,FRA,FRA
Font Girarde,FRA,FRA
Fontgoin,FRA,FRA
Fontgrave,FRA,FRA
Fontgrazalet,FRA,FRA
Fontguine,FRA,FRA
Fonthubert,FRA,FRA
Fontinguillère,FRA,FRA
Fontjoyeuse,FRA,FRA
Fontloubeau,FRA,FRA
Font Louval,FRA,FRA
Fontmajou,FRA,FRA
Font Massane,FRA,FRA
Fontmerley,FRA,FRA
Fontmort,FRA,FRA
Font Mort,FRA,FRA
Font Mourier,FRA,FRA
Font Murade,FRA,FRA
Font Nicoulaou,FRA,FRA
Fontobine,FRA,FRA
Fontpaulin Haut,FRA,FRA
Font Petugue,FRA,FRA
Font Richard,FRA,FRA
Font Rouge,FRA,FRA
Font-Roux,FRA,FRA
Fonts de Pain,FRA,FRA
Fonts de Pain de Guiblain,FRA,FRA
Fonts du Bos,FRA,FRA
Fontvidal,FRA,FRA
Fonvaleix,FRA,FRA
Fonzaud,FRA,FRA
Fonzeyraud,FRA,FRA
Foraine Bleue,FRA,FRA
Foras,FRA,FRA
Force,FRA,FRA
Forclan,FRA,FRA
Forcolaccia,FRA,FRA
Forconcella,FRA,FRA
Foreaud,FRA,FRA
Forestic Bihan,FRA,FRA
Forestier,FRA,FRA
Forêt d'Andaine,FRA,FRA
Forêt de Benon Terres Rouges,FRA,FRA
Forêt de Bizy,FRA,FRA
Forêt de Blin,FRA,FRA
Forêt de Boudeau,FRA,FRA
Forêt de Champrond,FRA,FRA
Forêt de Fréteval,FRA,FRA
Forêt de Gros Bois,FRA,FRA
Forêt de Guainville,FRA,FRA
Forêt de Reno Beauvilliers,FRA,FRA
Forêt de Roseux,FRA,FRA
Forêt de Rumilly,FRA,FRA
Forêt de Saint-André,FRA,FRA
Forêt des Andelys,FRA,FRA
Forêt d'Hallatte,FRA,FRA
Forêt Domaniale de Barbeau,FRA,FRA
Forêt du Mans,FRA,FRA
Forêt Impériale,FRA,FRA
Forge Collet,FRA,FRA
Forge Haute,FRA,FRA
Forges de Bigny,FRA,FRA
Forlen,FRA,FRA
Forlovic,FRA,FRA
Formon,FRA,FRA
Fornace et Spugnolo,FRA,FRA
Fornet,FRA,FRA
Foron,FRA,FRA
Forrières,FRA,FRA
Fort-à-faire,FRA,FRA
Fort à Faire,FRA,FRA
Fortage,FRA,FRA
Fort Bos,FRA,FRA
Fort de Champigny,FRA,FRA
Fort de Choisel,FRA,FRA
Fort de la Commune,FRA,FRA
Fort de Montlignon,FRA,FRA
Fort de Montmorency,FRA,FRA
Fort de Vaux,FRA,FRA
Fort du Verdon,FRA,FRA
Fort du Vieux Bâtis,FRA,FRA
Fortespine,FRA,FRA
Fortinière,FRA,FRA
Fort Talon,FRA,FRA
Fortunelle,FRA,FRA
Forum de Picardie,FRA,FRA
Forum des Halles,FRA,FRA
Forum Saint-Martin,FRA,FRA
Forven,FRA,FRA
Fos de l'Horloge,FRA,FRA
Fos Louvière,FRA,FRA
Fosse au Loup,FRA,FRA
Fosse Benoît,FRA,FRA
Fosséboudeau Ouest,FRA,FRA
Fosse Darde,FRA,FRA
Fossé de la Citadelle,FRA,FRA
Fossé de Turmont,FRA,FRA
Fosse du Crot,FRA,FRA
Fosse du Marais,FRA,FRA
Fossé Saint-Nicolas,FRA,FRA
Fosses Longues,FRA,FRA
Fosse Traversine,FRA,FRA
Fossigny,FRA,FRA
Foucaudière,FRA,FRA
Foucaudière Est,FRA,FRA
Foucaudière Ouest,FRA,FRA
Fouchère,FRA,FRA
Foucherie des Landes,FRA,FRA
Foucillos,FRA,FRA
Fouclinet,FRA,FRA
Fouco,FRA,FRA
Foueille Bim,FRA,FRA
Fouent Blacas,FRA,FRA
Fougearet,FRA,FRA
Fougerals,FRA,FRA
Fougueyrat,FRA,FRA
Fouillade,FRA,FRA
Fouillardet,FRA,FRA
Fouit,FRA,FRA
Foujaille,FRA,FRA
Foulanou,FRA,FRA
Foulara,FRA,FRA
Foulon Brosset,FRA,FRA
Foulon de la Forge,FRA,FRA
