stnname,country_left,country_right
Aire de Jeux et de Loisirs Vaillant-Couturier,FRA,FRA
Aire de Pra Piouvert,FRA,FRA
Aire de Rely,FRA,FRA
Aire de Repos Cézac,FRA,FRA
Aire de Saclay,FRA,FRA
Aire de Saint-Rémy,FRA,FRA
Aire de Saint-Romain-en-Gier,FRA,FRA
Aire des Cailletiers,FRA,FRA
Aire de Service de la Croix Bonnet,FRA,FRA
Aire de Service de Pontault-Est,FRA,FRA
Aire du Souvenir Français,FRA,FRA
Aires de Jeux,FRA,FRA
Aires de la Place,FRA,FRA
Air La Tuile,FRA,FRA
Aisance des Prés du Village,FRA,FRA
Aisance des Vignes,FRA,FRA
Aisance du Fonteny,FRA,FRA
Aisance Jules Hugues,FRA,FRA
Aître des Gaultiers,FRA,FRA
Ajaccio - Ponton de Porticcio,$FR,$FR
Ajaccio - Porto Torres,$FR,$FR
À Jacoulet Sud,FRA,FRA
À Jacquet,FRA,FRA
À Jambes,FRA,FRA
Ajonc,FRA,FRA
À Julhia,FRA,FRA
À Labarie,FRA,FRA
À la Barthe,FRA,FRA
À la Basse des Buissons,FRA,FRA
À la Basse Hamonais,FRA,FRA
À la Basse Onglée,FRA,FRA
À Labatut,FRA,FRA
À la Bernisse,FRA,FRA
À la Bonnetrie,FRA,FRA
À la Bori,FRA,FRA
À la Bourgonière,FRA,FRA
À Labrande,FRA,FRA
À la Brunelerie,FRA,FRA
À la Busardais,FRA,FRA
À la Carbonnie,FRA,FRA
À la Chaille du Haut,FRA,FRA
À la Costel,FRA,FRA
À la Croix de Pradelle,FRA,FRA
À la Croix Rotteleux,FRA,FRA
À la Dutode,FRA,FRA
À Lafena,FRA,FRA
À la Fenêtre,FRA,FRA
À la Fontaine de Malle,FRA,FRA
À la Fontaine d'Estrade,FRA,FRA
À la Fontaine Ferrugineuse,FRA,FRA
À la Font du Loup,FRA,FRA
À la Font du Pré,FRA,FRA
À Lagardie,FRA,FRA
À Lagnet du Haut,FRA,FRA
À la Grande Carré,FRA,FRA
